"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2022","0.04831","0.04751","0.04919","0.04628","316.63M","1.68%"
"27/11/2022","0.04751","0.04940","0.05090","0.04731","353.79M","-3.83%"
"20/11/2022","0.04940","0.04871","0.05069","0.04450","370.04M","1.41%"
"13/11/2022","0.04871","0.04719","0.05101","0.04310","503.70M","3.23%"
"06/11/2022","0.04719","0.06217","0.06267","0.04262","1.80B","-24.13%"
"30/10/2022","0.06220","0.06127","0.06400","0.05727","1.25B","1.39%"
"23/10/2022","0.06135","0.05970","0.06197","0.05790","702.42M","2.70%"
"16/10/2022","0.05974","0.06034","0.06450","0.05653","717.16M","-0.93%"
"09/10/2022","0.06030","0.06023","0.06706","0.05714","1.58B","0.05%"
"02/10/2022","0.06027","0.05756","0.06098","0.05580","741.74M","4.60%"
"25/09/2022","0.05762","0.06100","0.06217","0.05627","691.23M","-5.55%"
"18/09/2022","0.06100","0.06166","0.06376","0.05572","768.92M","-1.24%"
"11/09/2022","0.06176","0.06377","0.07424","0.05977","1.29B","-3.15%"
"04/09/2022","0.06377","0.06085","0.06455","0.05762","677.01M","4.81%"
"28/08/2022","0.06085","0.06285","0.06718","0.06045","573.28M","-3.18%"
"21/08/2022","0.06285","0.06770","0.07098","0.06168","667.22M","-7.17%"
"14/08/2022","0.06770","0.08125","0.08247","0.06390","623.27M","-16.68%"
"07/08/2022","0.08125","0.07678","0.08448","0.07258","755.42M","5.83%"
"31/07/2022","0.07678","0.07282","0.08114","0.07020","856.62M","5.46%"
"24/07/2022","0.07280","0.06850","0.07840","0.06320","721.19M","6.27%"
"17/07/2022","0.06850","0.06667","0.07720","0.06419","678.92M","3.12%"
"10/07/2022","0.06643","0.06881","0.06911","0.05789","499.67M","-3.46%"
"03/07/2022","0.06881","0.06333","0.06978","0.06018","457.54M","8.51%"
"26/06/2022","0.06341","0.07411","0.07570","0.05990","593.69M","-14.44%"
"19/06/2022","0.07411","0.06222","0.07949","0.06020","804.79M","18.96%"
"12/06/2022","0.06230","0.07802","0.07870","0.05819","637.20M","-20.15%"
"05/06/2022","0.07802","0.09031","0.09829","0.07490","402.30M","-13.62%"
"29/05/2022","0.09031","0.08916","0.09892","0.08650","323.59M","1.31%"
"22/05/2022","0.08915","0.10122","0.10803","0.08571","424.51M","-11.93%"
"15/05/2022","0.10122","0.10157","0.11029","0.09621","497.36M","-0.35%"
"08/05/2022","0.10157","0.13026","0.13218","0.07406","1.57B","-22.02%"
"01/05/2022","0.13026","0.14130","0.15512","0.12651","839.06M","-7.84%"
"24/04/2022","0.14135","0.18685","0.18950","0.13118","544.64M","-24.35%"
"17/04/2022","0.18685","0.19811","0.20373","0.18140","479.23M","-5.71%"
"10/04/2022","0.19817","0.21364","0.21880","0.19200","477.02M","-7.24%"
"03/04/2022","0.21364","0.24532","0.25021","0.20607","645.24M","-12.87%"
"27/03/2022","0.24520","0.22709","0.26773","0.22653","1.11B","7.98%"
"20/03/2022","0.22709","0.21013","0.23029","0.20529","715.98M","8.07%"
"13/03/2022","0.21014","0.20534","0.21347","0.19414","295.56M","2.33%"
"06/03/2022","0.20534","0.21018","0.22046","0.19812","317.16M","-2.30%"
"27/02/2022","0.21018","0.22340","0.23516","0.20178","576.41M","-5.92%"
"20/02/2022","0.22340","0.23231","0.23901","0.18730","1.08B","-3.83%"
"13/02/2022","0.23231","0.23115","0.26607","0.22135","693.74M","0.51%"
"06/02/2022","0.23113","0.25735","0.26911","0.22427","621.17M","-10.20%"
"30/01/2022","0.25738","0.22196","0.26268","0.20831","665.61M","16.07%"
"23/01/2022","0.22175","0.22223","0.23335","0.18602","710.35M","-0.21%"
"16/01/2022","0.22223","0.27975","0.28371","0.20261","717.51M","-20.56%"
"09/01/2022","0.27975","0.26452","0.29826","0.25016","585.17M","5.81%"
"02/01/2022","0.26438","0.30026","0.34056","0.25247","1.08B","-11.95%"
"26/12/2021","0.30026","0.31464","0.32532","0.27568","624.42M","-4.61%"
"19/12/2021","0.31476","0.30806","0.34280","0.29019","984.30M","2.18%"
"12/12/2021","0.30805","0.25294","0.31126","0.21808","746.93M","21.79%"
"05/12/2021","0.25294","0.28595","0.29121","0.23272","805.24M","-11.54%"
"28/11/2021","0.28595","0.33096","0.36947","0.21284","730.61M","-13.60%"
"21/11/2021","0.33096","0.38758","0.39758","0.31427","912.30M","-14.61%"
"14/11/2021","0.38758","0.43689","0.44555","0.34685","908.48M","-11.32%"
"07/11/2021","0.43704","0.38510","0.47633","0.38322","1.66B","13.49%"
"31/10/2021","0.38510","0.41855","0.46532","0.37178","1.11B","-7.88%"
"24/10/2021","0.41806","0.37933","0.43878","0.32922","1.20B","10.17%"
"17/10/2021","0.37948","0.37250","0.40861","0.34199","1.07B","2.20%"
"10/10/2021","0.37132","0.37085","0.39984","0.32081","1.10B","0.13%"
"03/10/2021","0.37083","0.38585","0.42733","0.36278","1.52B","-3.90%"
