"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","0.47940","0.50680","0.56340","0.45732","3.99B","-5.41%"
"04/06/2023","0.50682","0.51879","0.54606","0.47696","3.67B","-2.31%"
"28/05/2023","0.51880","0.47175","0.53212","0.47001","3.36B","9.96%"
"21/05/2023","0.47180","0.46843","0.47852","0.44380","2.57B","0.72%"
"14/05/2023","0.46843","0.42401","0.47458","0.41892","3.28B","10.48%"
"07/05/2023","0.42401","0.45822","0.45990","0.41162","3.36B","-7.46%"
"30/04/2023","0.45820","0.47800","0.48180","0.45041","2.72B","-4.14%"
"23/04/2023","0.47798","0.47191","0.48595","0.43638","3.81B","1.29%"
"16/04/2023","0.47191","0.51930","0.53746","0.44045","3.89B","-9.13%"
"09/04/2023","0.51930","0.50497","0.54532","0.49920","3.18B","2.84%"
"02/04/2023","0.50497","0.50950","0.52877","0.48385","3.34B","-0.89%"
"26/03/2023","0.50949","0.44309","0.58209","0.44066","7.16B","14.96%"
"19/03/2023","0.44321","0.37398","0.49268","0.37145","7.71B","18.52%"
"12/03/2023","0.37396","0.36378","0.38907","0.34797","4.21B","2.78%"
"05/03/2023","0.36385","0.37350","0.40041","0.35781","5.10B","-2.59%"
"26/02/2023","0.37351","0.37786","0.38441","0.35553","3.52B","-1.15%"
"19/02/2023","0.37786","0.39427","0.40831","0.37088","3.72B","-4.16%"
"12/02/2023","0.39427","0.38349","0.40438","0.36293","3.26B","2.81%"
"05/02/2023","0.38349","0.41091","0.41168","0.37413","3.05B","-6.68%"
"29/01/2023","0.41093","0.40787","0.42151","0.38837","2.96B","0.75%"
"22/01/2023","0.40787","0.40339","0.43205","0.39671","3.39B","1.15%"
"15/01/2023","0.40323","0.39530","0.41608","0.36943","4.03B","2.02%"
"08/01/2023","0.39526","0.34413","0.40855","0.33813","4.27B","14.86%"
"01/01/2023","0.34412","0.33876","0.35447","0.31516","3.22B","1.59%"
"25/12/2022","0.33872","0.35199","0.37257","0.33380","2.82B","-3.77%"
"18/12/2022","0.35200","0.35459","0.35522","0.33286","2.47B","-0.73%"
"11/12/2022","0.35458","0.38658","0.39666","0.34622","2.96B","-8.27%"
"04/12/2022","0.38657","0.38728","0.39580","0.37518","2.47B","-0.14%"
"27/11/2022","0.38711","0.39616","0.41120","0.37410","2.71B","-2.27%"
"20/11/2022","0.39611","0.38403","0.41878","0.34668","3.88B","3.15%"
"13/11/2022","0.38401","0.36344","0.39657","0.32185","3.01B","5.67%"
"06/11/2022","0.36341","0.49301","0.49444","0.32032","5.52B","-26.29%"
"30/10/2022","0.49302","0.47024","0.50960","0.44536","3.43B","4.87%"
"23/10/2022","0.47011","0.46533","0.48358","0.44372","2.97B","1.01%"
"16/10/2022","0.46542","0.48182","0.48727","0.42958","3.23B","-3.40%"
"09/10/2022","0.48181","0.51717","0.54678","0.44210","4.34B","-6.83%"
"02/10/2022","0.51716","0.47534","0.52869","0.43821","4.62B","8.78%"
"25/09/2022","0.47542","0.48782","0.51964","0.41763","6.91B","-2.54%"
"18/09/2022","0.48781","0.37588","0.55696","0.34030","12.96B","29.78%"
"11/09/2022","0.37587","0.35730","0.37994","0.32190","3.90B","5.20%"
"04/09/2022","0.35730","0.32977","0.36172","0.31367","3.21B","8.40%"
"28/08/2022","0.32962","0.33461","0.33717","0.31870","2.66B","-1.49%"
"21/08/2022","0.33461","0.33678","0.37003","0.32914","3.55B","-0.64%"
"14/08/2022","0.33678","0.37800","0.39211","0.33152","3.60B","-10.90%"
"07/08/2022","0.37799","0.37140","0.38713","0.35862","2.46B","1.78%"
"31/07/2022","0.37140","0.38768","0.39865","0.36322","2.37B","-4.20%"
"24/07/2022","0.38767","0.35929","0.40906","0.32559","2.92B","7.89%"
"17/07/2022","0.35932","0.35036","0.38145","0.34245","2.95B","2.51%"
"10/07/2022","0.35051","0.34478","0.35594","0.30335","3.05B","1.66%"
"03/07/2022","0.34478","0.31553","0.35837","0.30916","3.03B","9.28%"
"26/06/2022","0.31549","0.36754","0.37480","0.30612","3.21B","-14.16%"
"19/06/2022","0.36752","0.30750","0.38633","0.29839","3.84B","19.52%"
"12/06/2022","0.30750","0.35966","0.36513","0.28757","6.10B","-14.48%"
"05/06/2022","0.35957","0.39242","0.41706","0.35634","3.35B","-8.37%"
"29/05/2022","0.39242","0.38631","0.43342","0.37945","3.63B","1.57%"
"22/05/2022","0.38637","0.41446","0.42854","0.37660","4.14B","-6.79%"
"15/05/2022","0.41449","0.42610","0.44953","0.39200","4.32B","-2.72%"
"08/05/2022","0.42609","0.58075","0.58286","0.33665","10.76B","-26.63%"
"01/05/2022","0.58075","0.58523","0.65670","0.56966","4.10B","-0.77%"
"24/04/2022","0.58523","0.70549","0.71174","0.57131","3.63B","-17.04%"
"17/04/2022","0.70547","0.78102","0.78582","0.70310","3.50B","-9.68%"
"10/04/2022","0.78104","0.76220","0.79880","0.68415","3.95B","2.47%"
"03/04/2022","0.76221","0.82392","0.84980","0.74696","2.80B","-7.46%"
"27/03/2022","0.82369","0.83286","0.91125","0.79820","3.60B","-1.10%"
"20/03/2022","0.83286","0.81958","0.86489","0.78882","3.21B","1.61%"
"13/03/2022","0.81970","0.78591","0.82648","0.74218","3.13B","4.31%"
"06/03/2022","0.78585","0.75387","0.84877","0.70410","4.91B","4.24%"
